HW,CIN,COUT,KERNEL_SIZE,STRIDES,FLOPS,PARAMS,LATENCY,model_path
28,98,40,1,1,3.10464,0.00396,0.15780000000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_40Q8N9.tflite
8,123,395,1,1,3.13472,0.04898,0.162678,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_D7ATV3.tflite
14,262,61,1,1,3.144428,0.016043,0.16549,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_H1YDAX.tflite
8,214,232,1,1,3.19232,0.04988,0.162286,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_KAINTK.tflite
28,33,497,1,2,3.312008,0.016898,0.179453,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_GWE85U.tflite
14,36,483,1,1,3.502716,0.017871,0.185668,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_XMG332.tflite
14,230,78,1,1,3.531528,0.018018,0.181231,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_LZR8ZQ.tflite
27,493,10,1,1,3.60126,0.00494,0.29289499999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_KSUGHP.tflite
13,220,98,1,1,3.660202,0.021658,0.19695400000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_NLPKKF.tflite
14,39,485,1,1,3.8024,0.0194,0.200071,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_U0T542.tflite
56,52,23,1,1,3.822784,0.001219,0.206426,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_IXIB26.tflite
8,124,479,1,1,3.832,0.059875,0.197652,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_Q1SJR6.tflite
28,478,41,1,2,3.849244,0.019639,0.22784200000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_8CAKRC.tflite
8,64,38,5,1,3.893632,0.060838,0.20573,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_IEGTMM.tflite
7,214,373,1,1,3.929555,0.080195,0.21685,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_9VP8ZN.tflite
13,150,70,3,2,3.9955825,0.09457,0.25761,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_2VPD13.tflite
8,58,121,3,1,4.050112,0.063283,0.21585,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_WVRLL2.tflite
3,250,73,5,1,4.106907,0.456323,0.293038,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_WGXJRT.tflite
13,138,176,1,1,4.134416,0.024464,0.21113200000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_IH6195.tflite
13,203,120,1,1,4.13712,0.02448,0.21024600000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_5YX7OY.tflite
13,142,172,1,1,4.156724,0.024596,0.21737700000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_BPQERQ.tflite
14,662,32,1,1,4.158336,0.021216,0.206933,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_GMGML0.tflite
14,14,168,3,1,4.181856,0.021336,0.209344,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_ULU9OP.tflite
27,502,46,1,2,4.2169005,0.023138,0.240283,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_Z6VP7K.tflite
3,105,92,7,1,4.260888,0.473432,0.289613,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_8ARFXA.tflite
27,24,245,1,1,4.465125,0.006125,0.243263,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_2GE8W0.tflite
56,655,9,1,2,4.628736,0.005904,0.42768900000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_TQ9KCV.tflite
13,58,469,1,1,4.676399,0.027671,0.246305,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_1Q3EL4.tflite
14,175,138,1,1,4.760448,0.024288,0.247899,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_4XO56I.tflite
13,458,62,1,1,4.809402,0.028458,0.25128100000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_YAJKOQ.tflite
8,234,330,1,1,4.9632,0.07755,0.2585,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_QB8U1C.tflite
