CIN,COUT,FLOPS,PARAMS,LATENCY,model_path
1728,1042,1.801097,3.602194,0.2122,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_YU31ZK.tflite
1872,1031,1.9305475,3.861095,0.22850299999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_HJ9KA2.tflite
1883,1025,1.9305875,3.861175,0.228178,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_X1RKUM.tflite
1995,1015,2.0254325,4.050865,0.23693,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_IDDK89.tflite
2030,1006,2.042683,4.085366,0.22900299999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_DSW3XT.tflite
1992,1037,2.0662225,4.132445,0.23322900000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_QEMWEE.tflite
2071,1008,2.088072,4.176144,0.24658000000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_P28PR9.tflite
2128,1005,2.1391425,4.278285,0.253044,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_SD61V3.tflite
2029,1061,2.1532995,4.306599,0.25416300000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_DXV45S.tflite
2219,1007,2.2350365,4.470073,0.261681,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_85AXQ4.tflite
2117,1064,2.25302,4.50604,0.267338,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_OY1URG.tflite
2252,1007,2.2682675,4.536535,0.27173899999999995,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_HFGQ1P.tflite
562,4083,2.2966875,4.593375,0.272177,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_8LA69S.tflite
2284,1074,2.453553,4.907106,0.28409300000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_KVMHKU.tflite
2338,1076,2.516226,5.032452,0.289981,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_V4M2D4.tflite
639,4038,2.582301,5.164602,0.31015499999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_IB9S6L.tflite
679,4032,2.739744,5.479488,0.332851,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_7GJ5TT.tflite
685,4066,2.787243,5.574486,0.34180900000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_YKJYA4.tflite
822,4057,3.3368825,6.673765,0.410579,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_0BBKRZ.tflite
3668,1001,3.6721685,7.344337,0.44282900000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_64YPV8.tflite
3744,1023,3.8306235,7.661247,0.46712,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_XCAJAI.tflite
3617,1065,3.8526375,7.705275,0.471279,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_RPE50D.tflite
3790,1022,3.873891,7.747782,0.472992,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_2XANLN.tflite
3757,1033,3.8814975,7.762995,0.484091,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_WBSJ75.tflite
3703,1051,3.8923785,7.784757,0.48127499999999995,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_FI4ETL.tflite
3844,1013,3.8944785,7.788957,0.48196,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_4SD4SC.tflite
3771,1036,3.907274,7.814548,0.48145499999999997,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_EFW71C.tflite
3760,1045,3.9297225,7.859445,0.485254,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_9KICO0.tflite
3814,1048,3.997596,7.995192,0.49703699999999995,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_DETC0X.tflite
3895,1033,4.0240515,8.048103,0.504166,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_6SYQYA.tflite
3799,1072,4.073064,8.146128,0.508205,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_8A3O9E.tflite
4066,1015,4.1274975,8.254995,0.520156,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_8WR8CD.tflite
4021,1030,4.142145,8.28429,0.520726,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_3TUKKW.tflite
3913,1072,4.195272,8.390544,0.533098,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_5GXOUD.tflite
4128,1017,4.1986845,8.397369,0.538672,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_TA6SHX.tflite
4062,1047,4.2534375,8.506875,0.547274,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_IBROW8.tflite
4161,1034,4.302991,8.605982,0.499178,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_T8Y8Z2.tflite
4130,1046,4.320503,8.641006,0.5107269999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_UAISMW.tflite
4147,1047,4.3424325,8.684865,0.5264139999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_6S0G2J.tflite
1090,4085,4.4546925,8.909385,0.585145,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_Y8VTP1.tflite
4194,1075,4.5090875,9.018175,0.613577,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_EOYNKD.tflite
1113,4073,4.5352855,9.070571,0.593457,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_XXGLDE.tflite
1173,4064,4.769104,9.538208,0.645046,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_0PE915.tflite
1294,4082,5.284149,10.568298,0.782802,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_HB8GME.tflite
1541,4062,6.261573,12.523146,0.9809629999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_YQEUHT.tflite
1866,4070,7.596655,15.19331,1.0546900000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_OP2I4U.tflite
2274,4032,9.170784,18.341568,1.3115999999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_SM1D1I.tflite
2323,4090,9.503115,19.00623,1.34528,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_QJXJS6.tflite
2333,4073,9.5043455,19.008691,1.37869,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_ZN5ZGQ.tflite
9508,1040,9.88884,19.77768,1.4596900000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_KZ8GJ7.tflite
9583,1046,10.024341,20.048682,1.46146,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_OROHDD.tflite
9579,1072,10.269224,20.538448,1.5276500000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_0Z6CGI.tflite
3593,4054,14.568049,29.136098,2.16419,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_TDO1US.tflite
3584,4066,14.574577,29.149154,2.14795,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_81BNKN.tflite
3657,4053,14.8238475,29.647695,2.15606,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_CJRUQ7.tflite
3666,4073,14.9336545,29.867309,2.22039,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_WD8INZ.tflite
3718,4051,15.0636435,30.127287,2.26167,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_51Z2W0.tflite
