HW,CIN,COUT,KERNEL_SIZE,STRIDES,LATENCY,model_path
112,539,539,3,2,2.2222,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_9OU8ZC.tflite
56,248,248,3,2,0.181906,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_B53KC2.tflite
14,242,242,3,2,0.00955591,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_PC4KEP.tflite
56,34,34,2,2,0.0240917,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_G8K8NX.tflite
112,847,847,2,2,2.55566,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_KD73PJ.tflite
56,249,249,3,2,0.189085,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_3EP5GD.tflite
56,501,501,3,2,0.38550799999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_LKIPE3.tflite
56,247,247,2,2,0.179798,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_CHGEDG.tflite
112,510,510,3,2,1.96111,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_42ENGM.tflite
28,251,251,2,2,0.0412542,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_HXK7RU.tflite
56,492,492,2,2,0.328127,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_M68N1M.tflite
28,62,62,2,2,0.0112844,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_8238T2.tflite
14,192,192,3,2,0.00836262,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_AWAQ7Q.tflite
112,491,491,2,1,4.87299,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_G00T1E.tflite
224,57,57,3,2,0.8096230000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_TKWJHE.tflite
56,196,196,2,2,0.130969,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_YRLPCV.tflite
112,64,64,3,2,0.225061,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_Q1Z7EQ.tflite
14,238,238,3,2,0.0105663,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_VZPASO.tflite
112,504,504,3,1,5.32728,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_TPBNLM.tflite
14,55,55,3,2,0.00299012,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_AHQQ4H.tflite
14,502,502,2,2,0.0250879,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_WF9ZUG.tflite
14,248,248,3,2,0.0121156,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_Z010DW.tflite
112,252,252,2,2,1.07417,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_VA6G18.tflite
112,68,68,2,1,0.766583,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_6D1H5K.tflite
56,195,195,2,2,0.132041,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_YEQHIR.tflite
14,101,101,3,1,0.015550000000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_WT8PG1.tflite
14,49,49,2,1,0.008109360000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_1VNYE1.tflite
112,45,45,2,2,0.126004,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_HH35UV.tflite
112,201,201,3,1,2.03158,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_JCB74Q.tflite
14,496,496,2,2,0.0181523,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_1QJIZT.tflite
28,246,246,3,2,0.0409922,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_DX38X4.tflite
112,151,151,2,2,0.485128,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_ASJ6RL.tflite
