HW,CIN,COUT,KERNEL_SIZE,STRIDES,LATENCY,model_path
112,128,128,3,2,0.369884,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_FFPLK2.tflite
112,41,41,2,2,0.111168,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_Z9M1O1.tflite
28,129,129,2,1,0.0723585,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_0MOX4I.tflite
28,73,73,3,2,0.0124474,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_MD7LMF.tflite
14,246,246,3,2,0.008859790000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_Z8A6OU.tflite
28,248,248,3,2,0.034611199999999995,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_U5L4PY.tflite
14,232,232,2,2,0.007380289999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_Z36G07.tflite
112,98,98,2,2,0.298148,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_FPDGER.tflite
14,52,52,3,2,0.00228931,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_PRVS8X.tflite
14,848,848,3,2,0.0323938,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_IWIEA2.tflite
56,139,139,2,2,0.10439,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_HZBKI0.tflite
28,235,235,3,2,0.0419846,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_P43EKF.tflite
112,847,847,2,2,3.0097600000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_VRJD27.tflite
112,196,196,2,2,0.521865,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_CDC270.tflite
28,133,133,3,2,0.0223918,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_98TXSI.tflite
14,240,240,2,2,0.008546129999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_3VWEQS.tflite
